text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
future that never happened,0.48,0.58,0.48,0.48,0.35,0.7,0.68,0.5
nostalgic futurism retro tomorrow,0.52,0.62,0.45,0.55,0.42,0.68,0.65,0.55
dead mall alive with ghosts,0.42,0.52,0.5,0.42,0.38,0.72,0.7,0.45
future that never happened,0.48,0.58,0.48,0.48,0.35,0.7,0.68,0.5
nostalgic futurism retro tomorrow,0.52,0.62,0.45,0.55,0.42,0.68,0.65,0.55
dead mall alive with ghosts,0.42,0.52,0.5,0.42,0.38,0.72,0.7,0.45
future that never happened,0.48,0.58,0.48,0.48,0.35,0.7,0.68,0.5
nostalgic futurism retro tomorrow,0.52,0.62,0.45,0.55,0.42,0.68,0.65,0.55
dead mall alive with ghosts,0.42,0.52,0.5,0.42,0.38,0.72,0.7,0.45
future that never happened,0.48,0.58,0.48,0.48,0.35,0.7,0.68,0.5
nostalgic futurism retro tomorrow,0.52,0.62,0.45,0.55,0.42,0.68,0.65,0.55
dead mall alive with ghosts,0.42,0.52,0.5,0.42,0.38,0.72,0.7,0.45
future that never happened,0.48,0.58,0.48,0.48,0.35,0.7,0.68,0.5
nostalgic futurism retro tomorrow,0.52,0.62,0.45,0.55,0.42,0.68,0.65,0.55
dead mall alive with ghosts,0.42,0.52,0.5,0.42,0.38,0.72,0.7,0.45
future that never happened,0.48,0.58,0.48,0.48,0.35,0.7,0.68,0.5
retro future aesthetic,0.5,0.6,0.45,0.52,0.4,0.65,0.65,0.52
yesterday's tomorrow,0.52,0.58,0.48,0.5,0.38,0.68,0.62,0.52
past future nostalgia,0.55,0.55,0.45,0.52,0.35,0.68,0.6,0.55
obsolete dreams of progress,0.48,0.5,0.52,0.42,0.32,0.72,0.65,0.48
loud silence,0.48,0.5,0.52,0.42,0.45,0.78,0.55,0.48
deafening quiet,0.45,0.48,0.5,0.4,0.42,0.8,0.55,0.45
screaming silence,0.42,0.52,0.58,0.35,0.55,0.85,0.58,0.45
loud silence,0.48,0.5,0.52,0.42,0.45,0.78,0.55,0.48
deafening quiet,0.45,0.48,0.5,0.4,0.42,0.8,0.55,0.45
screaming silence,0.42,0.52,0.58,0.35,0.55,0.85,0.58,0.45
loud silence,0.48,0.5,0.52,0.42,0.45,0.78,0.55,0.48
deafening quiet,0.45,0.48,0.5,0.4,0.42,0.8,0.55,0.45
screaming silence,0.42,0.52,0.58,0.35,0.55,0.85,0.58,0.45
loud silence,0.48,0.5,0.52,0.42,0.45,0.78,0.55,0.48
deafening quiet,0.45,0.48,0.5,0.4,0.42,0.8,0.55,0.45
screaming silence,0.42,0.52,0.58,0.35,0.55,0.85,0.58,0.45
loud silence,0.48,0.5,0.52,0.42,0.45,0.78,0.55,0.48
deafening quiet,0.45,0.48,0.5,0.4,0.42,0.8,0.55,0.45
screaming silence,0.42,0.52,0.58,0.35,0.55,0.85,0.58,0.45
visible silence,0.5,0.55,0.45,0.48,0.35,0.7,0.55,0.5
taste of emptiness,0.45,0.5,0.48,0.42,0.32,0.72,0.55,0.45
color of nothing,0.48,0.52,0.45,0.45,0.35,0.68,0.55,0.48
home after years away everything smaller,0.58,0.52,0.45,0.52,0.32,0.68,0.5,0.58
returning stranger to childhood home,0.55,0.5,0.48,0.48,0.35,0.7,0.52,0.55
familiar place become foreign,0.5,0.52,0.5,0.45,0.38,0.72,0.55,0.5
home after years away everything smaller,0.58,0.52,0.45,0.52,0.32,0.68,0.5,0.58
returning stranger to childhood home,0.55,0.5,0.48,0.48,0.35,0.7,0.52,0.55
familiar place become foreign,0.5,0.52,0.5,0.45,0.38,0.72,0.55,0.5
home after years away everything smaller,0.58,0.52,0.45,0.52,0.32,0.68,0.5,0.58
returning stranger to childhood home,0.55,0.5,0.48,0.48,0.35,0.7,0.52,0.55
familiar place become foreign,0.5,0.52,0.5,0.45,0.38,0.72,0.55,0.5
home after years away everything smaller,0.58,0.52,0.45,0.52,0.32,0.68,0.5,0.58
returning stranger to childhood home,0.55,0.5,0.48,0.48,0.35,0.7,0.52,0.55
familiar place become foreign,0.5,0.52,0.5,0.45,0.38,0.72,0.55,0.5
home after years away everything smaller,0.58,0.52,0.45,0.52,0.32,0.68,0.5,0.58
returning stranger to childhood home,0.55,0.5,0.48,0.48,0.35,0.7,0.52,0.55
familiar place become foreign,0.5,0.52,0.5,0.45,0.38,0.72,0.55,0.5
known unknown,0.52,0.52,0.48,0.48,0.38,0.7,0.55,0.52
strange familiarity,0.52,0.5,0.5,0.48,0.4,0.72,0.58,0.52
uncanny homecoming,0.55,0.48,0.52,0.45,0.42,0.75,0.55,0.55
