text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
The feeling of wild meadow with flowers growing randomly,0.625,0.715,0.594,0.775,0.381,0.505,0.078,0.645
The feeling of autumn forest ablaze with red orange and gold falling leaves,0.545,0.617,0.588,0.68,0.309,0.52,0.248,0.832
Arctic ice cave with blue frozen walls,0.05,0.55,0.52,0.55,0.5,0.48,0.72,0.08
Children's choir singing bright happy songs in sunlit church,0.65,0.78,0.5,0.88,0.55,0.52,0.72,0.58
Haunting orchestral minor key with deep strings and silence,0.28,0.22,0.45,0.25,0.35,0.65,0.5,0.32
Surrounded by underground parking garage with cold concrete and flickering lights,0.221,0.247,0.727,0.276,0.325,0.5,0.878,0.414
Immersed in calm acceptance of peaceful inevitable ending,0.486,0.381,0.393,0.577,0.115,0.308,0.439,0.549
Experiencing soft acoustic guitar by warm firelight in quiet cabin,0.808,0.303,0.556,0.732,0.194,0.281,0.507,0.739
The feeling of bark of ancient tree rough and deep,0.463,0.368,0.886,0.525,0.168,0.415,0.186,0.526
Experiencing: Anything but quiet - extremely loud and powerful,0.513,0.671,0.488,0.543,0.914,0.925,0.525,0.503
Serene sunset beach with soft pink clouds and gentle waves,0.68,0.55,0.32,0.88,0.18,0.35,0.5,0.78
Like underground subway platform with harsh lights and cold tiles,0.349,0.723,0.334,0.302,0.555,0.487,0.891,0.387
A sense of peaceful bamboo grove with geometric stalks and dappled light,0.473,0.551,0.377,0.736,0.109,0.518,0.706,0.464
Experiencing chaotic construction site with dust and loud machinery,0.58,0.616,0.845,0.248,0.844,0.893,0.597,0.541
Surrounded by perfect crystalline grid of ice in frozen geometric patterns,0.041,0.761,0.437,0.509,0.209,0.516,0.964,0.2
Surrounded by brutal death metal with distorted screaming and crushing bass,0.388,0.2,0.954,0.388,0.98,0.973,0.503,0.52
Experiencing violent thunderstorm with lightning and pounding rain,0.428,0.332,0.633,0.311,0.931,0.98,0.257,0.512
A sense of old leather book with cracked textured cover,0.549,0.314,0.751,0.635,0.246,0.518,0.517,0.59
A sense of neon-lit cyberpunk alley with rain puddles reflecting pink and blue,0.46,0.539,0.641,0.521,0.682,0.545,0.796,0.548
Immersed in cold emptiness of loneliness and isolation,0.206,0.188,0.528,0.129,0.139,0.592,0.466,0.263
Experiencing autumn forest ablaze with red orange and gold falling leaves,0.613,0.61,0.541,0.742,0.343,0.48,0.25,0.781
Experiencing cozy warm cafe with wooden tables and soft golden lamplight,0.8,0.404,0.552,0.849,0.241,0.469,0.495,0.728
Like brutalist concrete fortress with harsh angular shadows,0.25,0.46,0.681,0.282,0.532,0.768,0.857,0.372
Quiet monastery courtyard with ancient stone and flowing fountain,0.48,0.55,0.65,0.72,0.1,0.18,0.62,0.5
Like wild tangled roots and vines in dark jungle floor,0.689,0.199,0.861,0.444,0.394,0.504,0.1,0.542
Like secluded cove with smooth rocks and crystal clear calm water,0.578,0.702,0.29,0.792,0.208,0.505,0.428,0.37
A sense of smooth warm polished mahogany in golden lamplight,0.745,0.527,0.082,0.699,0.205,0.458,0.56,0.725
Sleek corporate lobby with marble floors and cold grey steel,0.28,0.75,0.22,0.42,0.32,0.5,0.92,0.38
Crisp starched white linen fresh and geometric,0.42,0.85,0.35,0.62,0.25,0.5,0.78,0.48
Immersed in perfect autumn day with golden sun and crisp cool air,0.457,0.766,0.48,0.855,0.335,0.382,0.513,0.737
Immersed in perfect rainbow after rain with fresh clean air,0.545,0.682,0.546,0.887,0.465,0.652,0.317,0.584
Stormy grey ocean with violent crashing waves and dark clouds,0.28,0.22,0.75,0.25,0.85,0.88,0.18,0.5
Nostalgic bittersweet memory of warm summer childhood days,0.72,0.65,0.42,0.58,0.25,0.52,0.5,0.72
Gentle spring rain with fresh green smell and soft patter,0.52,0.42,0.45,0.72,0.22,0.28,0.5,0.48
Immersed in modern gym with bright lights and shiny equipment,0.453,0.84,0.187,0.546,0.689,0.663,0.805,0.53
Like string quartet in candlelit chamber warm and intimate,0.748,0.292,0.472,0.768,0.245,0.404,0.542,0.688
Immersed in harsh blizzard with howling wind and freezing snow,0.056,0.355,0.634,0.191,0.827,0.952,0.245,0.534
Like smooth warm polished mahogany in golden lamplight,0.77,0.457,0.101,0.751,0.17,0.451,0.536,0.723
Between depressed and lethargic and ecstatic and energized at 30%,0.5,0.5,0.5,0.32,0.32,0.5,0.5,0.5
A sense of peaceful moment of clarity and acceptance,0.628,0.558,0.279,0.768,0.091,0.356,0.436,0.467
Underwater coral reef with purple and blue fish,0.42,0.55,0.62,0.72,0.45,0.5,0.18,0.28
Surrounded by overwhelming anxiety and racing thoughts,0.431,0.533,0.627,0.167,0.879,0.779,0.367,0.537
Feeling like: Not happy but not depressed - just neutral and calm,0.486,0.485,0.479,0.48,0.27,0.304,0.506,0.512
Immersed in aggressive punk show in sweaty basement,0.678,0.254,0.753,0.696,0.966,0.965,0.348,0.483
Like jagged broken glass shards glittering in harsh light,0.355,0.787,0.963,0.23,0.52,0.787,0.743,0.53
Experiencing: Not hot at all - actually quite cold and dim,0.18,0.223,0.527,0.451,0.226,0.5,0.525,0.53
Not warm colors - very cool blue and purple tones,0.3,0.5,0.5,0.55,0.5,0.5,0.5,0.15
The atmosphere of corroded rusty metal rough and warm orange brown,0.518,0.409,0.891,0.271,0.544,0.502,0.573,0.741
Immersed in jagged broken glass shards glittering in harsh light,0.32,0.73,0.98,0.219,0.57,0.734,0.724,0.526
Perfect rainbow after rain with fresh clean air,0.55,0.72,0.5,0.92,0.48,0.62,0.35,0.55
This is: Not rough at all - perfectly smooth and polished,0.485,0.702,0.051,0.666,0.492,0.512,0.763,0.481
Early morning beach walk with cool wet sand and rising sun,0.45,0.65,0.42,0.75,0.35,0.5,0.25,0.68
This is: Not intense - very gentle subtle and soft,0.497,0.506,0.217,0.633,0.176,0.143,0.523,0.487
Surrounded by stormy forest with howling wind and creaking branches,0.281,0.135,0.714,0.254,0.8,0.873,0.144,0.529
Surrounded by excited nervous anticipation with heart racing and hands shaking,0.592,0.63,0.45,0.6,0.851,0.761,0.414,0.467
Like cold emptiness of loneliness and isolation,0.161,0.258,0.444,0.061,0.139,0.622,0.472,0.22
Excited nervous anticipation with heart racing and hands shaking,0.58,0.62,0.48,0.62,0.88,0.78,0.45,0.5
Like deep crushing despair in cold dark isolation,0.158,0.063,0.594,0.06,0.221,0.796,0.504,0.219
Gritty urban concrete covered in peeling graffiti,0.42,0.45,0.82,0.35,0.38,0.5,0.72,0.55
Deep ocean blue underwater world cold and mysterious,0.22,0.35,0.35,0.52,0.28,0.5,0.28,0.12
The feeling of gentle spring rain with fresh green smell and soft patter,0.504,0.39,0.453,0.736,0.232,0.296,0.458,0.529
Overwhelming anxiety and racing thoughts,0.45,0.52,0.58,0.18,0.88,0.82,0.35,0.5
Baroque explosion of ornate golden curves and angels,0.65,0.58,0.72,0.68,0.5,0.78,0.32,0.82
Feeling like: Not sad at all - genuinely happy and energetic,0.638,0.705,0.488,0.874,0.764,0.476,0.506,0.513
Experiencing cool teal aquarium light on smooth glass tanks,0.3,0.575,0.082,0.616,0.268,0.526,0.736,0.306
Aggressive punk show in sweaty basement,0.72,0.28,0.78,0.65,0.95,0.92,0.35,0.5
Experiencing: Not cold but not warm either - neutral temperature in bright light,0.511,0.723,0.523,0.525,0.35,0.506,0.508,0.49
Immersed in violent thunderstorm with lightning and pounding rain,0.33,0.372,0.714,0.241,0.916,0.98,0.285,0.532
Between cool blue tones and warm orange tones at 85%,0.71,0.5,0.5,0.5,0.5,0.5,0.5,0.78
The atmosphere of fresh powdery snow soft and cold,0.11,0.838,0.208,0.76,0.358,0.465,0.381,0.101
Like moonlit beach at midnight with cold silver light on black water,0.218,0.106,0.392,0.537,0.14,0.292,0.529,0.149
Surrounded by tornado warning with dark green sky and eerie stillness,0.436,0.274,0.519,0.169,0.766,0.826,0.206,0.352
Experiencing smoky dive bar with sticky floors and dim red lights,0.582,0.194,0.7,0.385,0.444,0.471,0.305,0.717
A sense of sleek corporate lobby with marble floors and cold grey steel,0.238,0.744,0.233,0.442,0.292,0.49,0.872,0.378
The atmosphere of crisp starched white linen fresh and geometric,0.434,0.812,0.341,0.607,0.298,0.533,0.749,0.498
Pounding techno in dark club with strobe lights and sweaty crowd,0.62,0.55,0.58,0.72,0.95,0.95,0.85,0.5
The atmosphere of modern art museum with white walls and dramatic spotlights,0.379,0.825,0.135,0.603,0.313,0.522,0.84,0.46
Perfect autumn day with golden sun and crisp cool air,0.48,0.72,0.45,0.85,0.35,0.42,0.5,0.72
Immersed in splattered paint chaotic random abstract,0.5,0.59,0.781,0.521,0.611,0.647,0.116,0.653
Autumn harvest with orange pumpkins and red leaves,0.58,0.62,0.55,0.78,0.42,0.5,0.32,0.85
Icy blue glacier cave with frozen crystalline walls,0.05,0.62,0.52,0.55,0.5,0.48,0.85,0.08
The atmosphere of deep connection and love with another person,0.851,0.588,0.268,0.929,0.436,0.723,0.518,0.766
Experiencing: Not warm colors - very cool blue and purple tones,0.313,0.494,0.513,0.541,0.52,0.51,0.505,0.151
The atmosphere of violent thunderstorm with lightning and pounding rain,0.362,0.372,0.717,0.273,0.95,0.948,0.216,0.513
A sense of string quartet in candlelit chamber warm and intimate,0.744,0.342,0.49,0.735,0.222,0.418,0.515,0.745
Triumphant victory celebration with bright lights and cheering,0.72,0.85,0.5,0.95,0.92,0.88,0.55,0.72
Between freezing dark and blazing bright at 55%,0.545,0.545,0.5,0.5,0.5,0.5,0.5,0.5
The feeling of sterile laboratory grid of white tiles and metal,0.23,0.846,0.152,0.315,0.276,0.524,0.978,0.406
The atmosphere of crowded summer beach party with loud music and colorful umbrellas,0.846,0.888,0.458,0.813,0.837,0.741,0.436,0.702
"Experiencing: Neither hot nor cold, neither bright nor dark - just neutral grey everything",0.49,0.479,0.497,0.469,0.306,0.315,0.503,0.518
The atmosphere of sunlit meadow with wildflowers and buzzing bees in warm breeze,0.735,0.847,0.429,0.911,0.423,0.532,0.267,0.674
The atmosphere of chaotic organic forms of coral reef in warm tropical water,0.731,0.568,0.708,0.698,0.449,0.547,0.046,0.408
The feeling of corroded rusty metal rough and warm orange brown,0.523,0.411,0.904,0.256,0.493,0.433,0.55,0.711
A sense of early morning beach walk with cool wet sand and rising sun,0.494,0.658,0.47,0.756,0.395,0.488,0.257,0.718
Not rough at all - perfectly smooth and polished,0.5,0.7,0.08,0.65,0.5,0.5,0.75,0.5
Rough cold granite boulders under grey overcast sky,0.25,0.42,0.88,0.42,0.22,0.5,0.55,0.42
Soft cloud formations shapeless and ever-changing,0.48,0.72,0.25,0.65,0.18,0.22,0.08,0.5
Like excited nervous anticipation with heart racing and hands shaking,0.553,0.609,0.525,0.664,0.85,0.755,0.422,0.456
A sense of brutal death metal with distorted screaming and crushing bass,0.337,0.177,0.956,0.313,0.98,0.945,0.564,0.523
Like stormy grey ocean with violent crashing waves and dark clouds,0.275,0.26,0.769,0.208,0.893,0.865,0.23,0.468
Between freezing dark and blazing bright at 85%,0.815,0.815,0.5,0.5,0.5,0.5,0.5,0.5
Experiencing tender loving embrace soft warm and safe,0.869,0.542,0.11,0.952,0.172,0.547,0.516,0.729
Surrounded by aggressive punk show in sweaty basement,0.697,0.251,0.796,0.619,0.936,0.89,0.321,0.452
Immersed in clear mountain morning with cold fresh air and bright sun,0.239,0.924,0.339,0.821,0.417,0.405,0.49,0.51
The feeling of clean minimal scandinavian room with white and wood,0.554,0.732,0.23,0.677,0.165,0.45,0.9,0.569
Experiencing stormy forest with howling wind and creaking branches,0.309,0.17,0.742,0.186,0.842,0.805,0.196,0.535
The feeling of modern skyscraper with glass grid facade,0.333,0.677,0.136,0.497,0.462,0.549,0.872,0.402
Like arctic ice cave with blue frozen walls,0.091,0.541,0.5,0.509,0.547,0.48,0.718,0.077
Like tender loving embrace soft warm and safe,0.915,0.546,0.172,0.96,0.269,0.514,0.457,0.719
The atmosphere of children's choir singing bright happy songs in sunlit church,0.648,0.753,0.526,0.891,0.535,0.564,0.733,0.55
Surrounded by gentle spring rain with fresh green smell and soft patter,0.481,0.38,0.452,0.725,0.249,0.33,0.533,0.474
Sterile laboratory grid of white tiles and metal,0.28,0.88,0.15,0.35,0.32,0.5,0.95,0.42
The feeling of enchanted forest with soft glowing mushrooms in darkness,0.43,0.23,0.476,0.755,0.261,0.487,0.203,0.501
Jagged broken glass shards glittering in harsh light,0.35,0.78,0.95,0.18,0.55,0.75,0.72,0.5
Like crisp clear winter morning with frost and blue sky,0.144,0.807,0.41,0.633,0.401,0.503,0.564,0.269
Not intense - very gentle subtle and soft,0.5,0.5,0.2,0.65,0.2,0.12,0.5,0.5
Rocky coastline with cold spray and rough jagged cliffs,0.22,0.45,0.92,0.38,0.55,0.65,0.35,0.5
The atmosphere of burnt forest after fire with charred black trees and ash,0.266,0.369,0.833,0.138,0.239,0.541,0.521,0.382
Experiencing quiet piano practice in cold empty concert hall,0.354,0.562,0.263,0.505,0.203,0.243,0.867,0.48
Slick wet ice reflecting cold blue winter light,0.08,0.72,0.12,0.45,0.28,0.5,0.82,0.15
This is: Far from exciting - actually very boring and dull,0.512,0.391,0.482,0.364,0.129,0.174,0.477,0.511
Like ancient dark forest with twisted gnarled trees and thick moss,0.347,0.121,0.803,0.382,0.206,0.567,0.103,0.537
Experiencing bark of ancient tree rough and deep,0.468,0.386,0.836,0.593,0.145,0.417,0.218,0.499
Like misty morning forest with soft green light filtering through,0.477,0.343,0.563,0.571,0.186,0.313,0.541,0.495
Surrounded by warm tide pool with smooth colorful pebbles and small fish,0.682,0.599,0.318,0.702,0.269,0.477,0.235,0.563
A sense of soft cloud formations shapeless and ever-changing,0.512,0.763,0.231,0.657,0.162,0.175,0.053,0.473
The atmosphere of precise art deco architecture with golden angles and lines,0.622,0.604,0.318,0.7,0.327,0.466,0.894,0.785
A sense of warm golden honey dripping slow and viscous,0.702,0.522,0.452,0.675,0.196,0.542,0.27,0.772
Surrounded by perfect autumn day with golden sun and crisp cool air,0.44,0.694,0.413,0.861,0.339,0.372,0.542,0.767
A sense of moonlit beach at midnight with cold silver light on black water,0.136,0.149,0.314,0.524,0.098,0.262,0.492,0.2
Like underwater coral reef with purple and blue fish,0.43,0.594,0.64,0.72,0.461,0.54,0.163,0.258
Experiencing blazing orange sunset painting everything in warm glow,0.799,0.587,0.306,0.828,0.318,0.652,0.505,0.891
Experiencing neon-lit cyberpunk alley with rain puddles reflecting pink and blue,0.419,0.604,0.617,0.487,0.762,0.525,0.777,0.556
The atmosphere of cold steel blue industrial machinery in harsh light,0.265,0.631,0.607,0.335,0.384,0.469,0.922,0.193
The feeling of dense jungle with humid heat and chaotic tangled vines,0.819,0.296,0.866,0.499,0.552,0.602,0.098,0.531
Immersed in stormy grey ocean with violent crashing waves and dark clouds,0.249,0.241,0.743,0.247,0.88,0.893,0.226,0.521
Cool teal aquarium light on smooth glass tanks,0.35,0.55,0.12,0.62,0.25,0.5,0.72,0.28
Experiencing warm amber streetlights on wet autumn pavement,0.582,0.389,0.54,0.547,0.246,0.509,0.655,0.772
Honeycomb pattern perfect hexagonal precision,0.58,0.68,0.52,0.62,0.28,0.5,0.95,0.72
Experiencing: Not happy but not depressed - just neutral and calm,0.485,0.483,0.508,0.522,0.26,0.308,0.479,0.526
Immersed in cold steel blue industrial machinery in harsh light,0.242,0.711,0.662,0.292,0.386,0.519,0.873,0.237
Wild overgrown garden with chaotic flowers and tangled paths,0.62,0.65,0.68,0.65,0.35,0.5,0.15,0.62
Immersed in honeycomb pattern perfect hexagonal precision,0.585,0.724,0.539,0.643,0.325,0.528,0.918,0.743
Secluded cove with smooth rocks and crystal clear calm water,0.55,0.72,0.28,0.78,0.18,0.5,0.45,0.38
Chaotic kindergarten classroom with colorful toys everywhere,0.72,0.78,0.55,0.85,0.82,0.5,0.18,0.68
Immersed in misty morning forest with soft green light filtering through,0.483,0.315,0.599,0.584,0.132,0.234,0.548,0.47
A sense of underground subway platform with harsh lights and cold tiles,0.351,0.672,0.323,0.303,0.57,0.517,0.883,0.421
Chaotic organic forms of coral reef in warm tropical water,0.75,0.55,0.72,0.72,0.42,0.5,0.08,0.42
Burnt forest after fire with charred black trees and ash,0.28,0.35,0.85,0.12,0.25,0.55,0.5,0.38
Blazing tropical noon on white sand beach with turquoise water,0.92,0.95,0.28,0.78,0.35,0.5,0.25,0.35
The feeling of precise art deco architecture with golden angles and lines,0.608,0.605,0.386,0.635,0.372,0.476,0.931,0.769
Experiencing funky disco beat with bright horns and groovy bass,0.733,0.824,0.511,0.926,0.857,0.761,0.602,0.725
Scorching desert at high noon with blinding white sand,0.98,0.95,0.55,0.32,0.42,0.85,0.5,0.82
Massive outdoor festival with thousands dancing in sun,0.75,0.85,0.5,0.88,0.92,0.88,0.45,0.72
"Neither hot nor cold, neither bright nor dark - just neutral grey everything",0.5,0.5,0.5,0.45,0.3,0.3,0.5,0.5
The atmosphere of massive outdoor festival with thousands dancing in sun,0.742,0.822,0.47,0.872,0.919,0.872,0.499,0.722
Immersed in peaceful bamboo grove with geometric stalks and dappled light,0.475,0.51,0.409,0.743,0.17,0.452,0.689,0.506
This is: Anything but quiet - extremely loud and powerful,0.492,0.656,0.508,0.521,0.917,0.964,0.512,0.501
Surrounded by moonlit beach at midnight with cold silver light on black water,0.197,0.16,0.359,0.507,0.169,0.325,0.505,0.117
Immersed in sterile white hospital corridor with harsh fluorescent lights,0.28,0.874,0.037,0.186,0.357,0.532,0.98,0.489
Experiencing sterile laboratory grid of white tiles and metal,0.327,0.87,0.164,0.332,0.317,0.452,0.923,0.446
This is: Not smooth - quite rough and jagged surface,0.477,0.52,0.877,0.379,0.523,0.497,0.392,0.494
Humid tropical night with warm rain and distant thunder,0.78,0.12,0.52,0.55,0.38,0.55,0.5,0.62
Rooftop bar at sunset with warm orange light and city views,0.68,0.55,0.5,0.82,0.52,0.48,0.72,0.82
A sense of thick fog making everything grey and dreamlike,0.446,0.367,0.393,0.402,0.135,0.174,0.309,0.502
Surrounded by bright spring forest with fresh green leaves and birdsong,0.541,0.759,0.47,0.887,0.503,0.487,0.263,0.541
Peaceful moment of clarity and acceptance,0.58,0.55,0.28,0.72,0.12,0.35,0.48,0.5
A sense of deserted foggy beach with grey sand and eerie silence,0.36,0.322,0.51,0.329,0.148,0.266,0.529,0.422
Like peaceful moment of clarity and acceptance,0.625,0.532,0.33,0.728,0.16,0.313,0.503,0.455
Deserted foggy beach with grey sand and eerie silence,0.35,0.28,0.55,0.32,0.12,0.22,0.5,0.42
A sense of deep ocean blue underwater world cold and mysterious,0.248,0.352,0.301,0.564,0.243,0.495,0.293,0.119
Campfire embers glowing orange and red,0.85,0.42,0.55,0.72,0.28,0.52,0.5,0.92
Between cool blue tones and warm orange tones at 55%,0.53,0.5,0.5,0.5,0.5,0.5,0.5,0.54
The atmosphere of tender loving embrace soft warm and safe,0.916,0.472,0.164,0.88,0.238,0.532,0.525,0.675
Surrounded by wild overgrown garden with chaotic flowers and tangled paths,0.586,0.668,0.671,0.677,0.398,0.487,0.15,0.653
The atmosphere of velvet curtains deep red soft and luxurious,0.659,0.348,0.237,0.717,0.469,0.451,0.533,0.839
Experiencing: Not rough at all - perfectly smooth and polished,0.494,0.713,0.073,0.663,0.473,0.5,0.74,0.475
Between cool blue tones and warm orange tones at 15%,0.29,0.5,0.5,0.5,0.5,0.5,0.5,0.22
Wild meadow with flowers growing randomly,0.62,0.72,0.55,0.78,0.35,0.5,0.12,0.62
Crisp clear winter morning with frost and blue sky,0.15,0.85,0.45,0.68,0.42,0.5,0.55,0.25
Smoky dive bar with sticky floors and dim red lights,0.55,0.18,0.72,0.42,0.48,0.5,0.35,0.72
This is: Not sad at all - genuinely happy and energetic,0.672,0.706,0.472,0.876,0.777,0.479,0.528,0.524
Peaceful serene meditation in warm soft candlelight,0.68,0.28,0.25,0.78,0.08,0.15,0.5,0.72
Between depressed and lethargic and ecstatic and energized at 15%,0.5,0.5,0.5,0.185,0.185,0.5,0.5,0.5
Between depressed and lethargic and ecstatic and energized at 45%,0.5,0.5,0.5,0.455,0.455,0.5,0.5,0.5
Surrounded by dark industrial noise with harsh metallic grinding,0.295,0.131,0.98,0.205,0.8,0.861,0.684,0.522
The atmosphere of chaotic construction site with dust and loud machinery,0.596,0.655,0.801,0.261,0.883,0.836,0.61,0.511
Quiet library with tall dark wooden shelves and soft reading lamps,0.58,0.35,0.55,0.72,0.08,0.15,0.72,0.5
Surrounded by smooth jazz in dimly lit lounge with warm wooden decor,0.721,0.234,0.428,0.718,0.266,0.351,0.475,0.675
The atmosphere of hazy summer afternoon with thick humid air and bright haze,0.798,0.678,0.318,0.526,0.277,0.477,0.544,0.709
The feeling of windy beach with rough sand blowing and grey choppy waves,0.34,0.441,0.678,0.359,0.677,0.646,0.214,0.519
Rosy pink cherry blossoms soft and delicate,0.55,0.72,0.22,0.85,0.28,0.5,0.28,0.72
The feeling of neon-lit cyberpunk alley with rain puddles reflecting pink and blue,0.453,0.615,0.627,0.449,0.769,0.451,0.78,0.561
Moonlit beach at midnight with cold silver light on black water,0.18,0.15,0.35,0.52,0.12,0.28,0.5,0.15
Sunny outdoor farmers market with colorful produce,0.72,0.82,0.58,0.85,0.68,0.5,0.25,0.72
Like icy blue glacier cave with frozen crystalline walls,0.064,0.579,0.492,0.519,0.477,0.479,0.872,0.085
The feeling of perfect rainbow after rain with fresh clean air,0.502,0.723,0.535,0.945,0.525,0.639,0.377,0.541
Modern gym with bright lights and shiny equipment,0.45,0.85,0.22,0.58,0.72,0.65,0.78,0.5
Immersed in underground subway platform with harsh lights and cold tiles,0.314,0.635,0.33,0.325,0.504,0.476,0.832,0.41
Experiencing quiet library with tall dark wooden shelves and soft reading lamps,0.535,0.322,0.594,0.746,0.031,0.109,0.671,0.485
Immersed in frozen winter forest with snow-covered pines and icy stillness,0.129,0.719,0.424,0.533,0.1,0.295,0.534,0.147
The feeling of wild overgrown garden with chaotic flowers and tangled paths,0.597,0.623,0.668,0.688,0.34,0.524,0.137,0.614
Experiencing humid tropical night with warm rain and distant thunder,0.74,0.075,0.481,0.587,0.402,0.536,0.494,0.634
Explosive EDM drop with massive bass and euphoric synths,0.58,0.82,0.5,0.85,0.95,0.95,0.78,0.62
Thick fog making everything grey and dreamlike,0.42,0.32,0.35,0.45,0.15,0.18,0.28,0.5
Wild tangled roots and vines in dark jungle floor,0.68,0.18,0.85,0.42,0.35,0.52,0.08,0.5
Underground parking garage with cold concrete and flickering lights,0.22,0.28,0.75,0.25,0.35,0.5,0.88,0.38
Surrounded by cool teal aquarium light on smooth glass tanks,0.385,0.572,0.146,0.61,0.298,0.532,0.761,0.265
A sense of sterile laboratory grid of white tiles and metal,0.238,0.899,0.162,0.392,0.363,0.485,0.916,0.387
Like quiet monastery courtyard with ancient stone and flowing fountain,0.504,0.567,0.681,0.764,0.062,0.222,0.601,0.482
Experiencing fresh powdery snow soft and cold,0.099,0.805,0.248,0.703,0.315,0.492,0.381,0.158
Quiet gratitude for simple everyday moments,0.68,0.58,0.35,0.82,0.18,0.32,0.5,0.62
The atmosphere of serene sunset beach with soft pink clouds and gentle waves,0.693,0.536,0.284,0.853,0.192,0.351,0.542,0.751
The feeling of quiet monastery courtyard with ancient stone and flowing fountain,0.516,0.578,0.672,0.704,0.077,0.19,0.653,0.544
Surrounded by early morning beach walk with cool wet sand and rising sun,0.43,0.655,0.405,0.708,0.351,0.545,0.232,0.693
Experiencing: Not smooth - quite rough and jagged surface,0.445,0.518,0.825,0.424,0.481,0.493,0.411,0.499
The feeling of chaotic construction site with dust and loud machinery,0.508,0.613,0.789,0.275,0.874,0.842,0.543,0.472
Like cold steel blue industrial machinery in harsh light,0.288,0.641,0.685,0.308,0.464,0.484,0.922,0.2
Cozy bookstore with wooden shelves and warm yellow lights,0.75,0.42,0.62,0.78,0.18,0.5,0.55,0.72
Not smooth - quite rough and jagged surface,0.45,0.5,0.85,0.4,0.5,0.5,0.4,0.5
Immersed in chaotic kindergarten classroom with colorful toys everywhere,0.72,0.817,0.563,0.833,0.838,0.544,0.161,0.681
Experiencing blazing tropical noon on white sand beach with turquoise water,0.918,0.973,0.328,0.759,0.377,0.526,0.264,0.396
Between freezing dark and blazing bright at 45%,0.455,0.455,0.5,0.5,0.5,0.5,0.5,0.5
Feeling like: Not rough at all - perfectly smooth and polished,0.489,0.724,0.108,0.634,0.524,0.501,0.777,0.517
Stormy forest with howling wind and creaking branches,0.28,0.18,0.72,0.22,0.82,0.85,0.18,0.5
A sense of windy beach with rough sand blowing and grey choppy waves,0.335,0.496,0.704,0.355,0.716,0.624,0.191,0.529
Fresh powdery snow soft and cold,0.08,0.85,0.22,0.72,0.35,0.5,0.35,0.15
Immersed in coarse burlap sack rough and warm in barn,0.534,0.393,0.834,0.503,0.241,0.477,0.467,0.551
A sense of autumn forest ablaze with red orange and gold falling leaves,0.558,0.651,0.527,0.727,0.314,0.49,0.171,0.809
A sense of modern skyscraper with glass grid facade,0.392,0.683,0.156,0.477,0.489,0.55,0.951,0.486
Between rough chaotic organic and smooth precise geometric at 70%,0.5,0.5,0.32,0.5,0.5,0.5,0.68,0.5
Experiencing massive outdoor festival with thousands dancing in sun,0.781,0.854,0.527,0.91,0.91,0.857,0.467,0.768
The feeling of soft acoustic guitar by warm firelight in quiet cabin,0.771,0.301,0.54,0.82,0.209,0.276,0.491,0.757
The feeling of overwhelming anxiety and racing thoughts,0.419,0.523,0.537,0.162,0.876,0.839,0.378,0.508
Surrounded by ancient dark forest with twisted gnarled trees and thick moss,0.318,0.141,0.818,0.36,0.191,0.582,0.2,0.466
Experiencing sunny outdoor farmers market with colorful produce,0.675,0.826,0.595,0.803,0.646,0.518,0.213,0.706
Enchanted forest with soft glowing mushrooms in darkness,0.42,0.25,0.48,0.72,0.22,0.5,0.18,0.55
Immersed in triumphant victory celebration with bright lights and cheering,0.701,0.814,0.51,0.944,0.909,0.914,0.579,0.734
Surrounded by rough cold granite boulders under grey overcast sky,0.201,0.398,0.879,0.404,0.254,0.465,0.504,0.414
Like splattered paint chaotic random abstract,0.54,0.596,0.718,0.585,0.554,0.637,0.088,0.648
A sense of rocky coastline with cold spray and rough jagged cliffs,0.222,0.436,0.876,0.373,0.564,0.602,0.397,0.5
The atmosphere of secluded cove with smooth rocks and crystal clear calm water,0.597,0.683,0.243,0.826,0.172,0.474,0.494,0.335
Immersed in fresh powdery snow soft and cold,0.124,0.833,0.223,0.705,0.313,0.502,0.306,0.168
Experiencing overwhelming grief at funeral on cold grey rainy day,0.199,0.281,0.526,0.032,0.453,0.927,0.487,0.332
A sense of haunting orchestral minor key with deep strings and silence,0.254,0.25,0.45,0.21,0.346,0.614,0.548,0.348
A sense of funky disco beat with bright horns and groovy bass,0.687,0.763,0.511,0.918,0.852,0.756,0.646,0.67
Surrounded by crowded summer beach party with loud music and colorful umbrellas,0.842,0.833,0.504,0.805,0.832,0.764,0.49,0.769
A sense of quiet piano practice in cold empty concert hall,0.313,0.555,0.197,0.502,0.202,0.31,0.794,0.536
Tender loving embrace soft warm and safe,0.88,0.52,0.15,0.92,0.22,0.55,0.5,0.72
Windy beach with rough sand blowing and grey choppy waves,0.35,0.48,0.72,0.38,0.68,0.65,0.22,0.5
Modern skyscraper with glass grid facade,0.38,0.72,0.15,0.48,0.5,0.55,0.92,0.45
Experiencing: Far from exciting - actually very boring and dull,0.502,0.416,0.502,0.353,0.118,0.166,0.501,0.484
Experiencing harsh blizzard with howling wind and freezing snow,0.02,0.34,0.624,0.171,0.816,0.93,0.174,0.452
Like dark swamp with murky water and twisted dead trees,0.397,0.221,0.733,0.154,0.387,0.56,0.122,0.543
The feeling of excited nervous anticipation with heart racing and hands shaking,0.593,0.665,0.486,0.666,0.911,0.746,0.45,0.506
